time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Altitude_sensor,Heading,lat2,lat3
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73378555281056,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73521306234709,37.50364216667016,37.50364216667016
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
14:01:1626670908,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.73859400598624,37.50364183333308,37.50364183333308
