time,speed_north,speed_east,speed_up,North,East,Altitude
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814481,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
16:08:1625814482,0.0,0.0,-0.0,0.0,0.0,0.0
